# 关节角度(度) | 末端位置(mm) 理想值
# q1 q2 q3 q4 q5 q6 | x y z
116.2846 16.2846 -145.0895 18.2687 -88.8622 -108.6608 | 115.8476 -175.8151 1071.3051
-36.5781 -59.4704 -161.3539 109.3702 -45.9682 106.3035 | -602.1119 381.5690 270.2537
63.6181 -76.4651 -124.3169 156.6953 25.1792 116.3234 | -389.9792 -755.7308 236.8643
129.3395 -50.0328 -186.2484 169.9290 24.9274 -27.1651 | 333.5465 -414.1377 199.8640
144.4140 92.5246 -92.6363 -109.6541 -104.2586 14.9306 | -762.3698 452.4445 369.0866
-4.3489 -43.9255 -132.7358 5.0413 23.7155 31.6675 | -782.2072 59.8905 726.1523
105.9904 -64.1980 6.0525 145.7317 82.9271 278.8272 | 16.3264 -224.4757 1006.0228
-139.5265 29.8109 -24.8408 -67.6805 0.7863 -278.6742 | -583.4454 -496.9354 753.1282
23.8948 83.1495 -26.3889 117.2269 82.5623 61.5606 | 674.4630 381.1583 98.8138
138.9714 -59.7726 -21.0800 138.8316 21.2692 16.3475 | 230.3617 -231.5602 1115.8684
45.0207 86.8591 -74.5317 -5.0874 1.1859 254.3956 | 694.0762 693.8325 326.4478
77.5550 -56.7864 -85.7064 113.6628 -27.3812 -67.5491 | -128.6241 -746.7052 915.7362
21.3709 63.7377 -64.3606 8.1196 -118.8421 171.0020 | 765.6867 287.0691 684.6642
-83.6012 -62.7189 -151.4100 38.8796 -14.4353 11.4502 | -95.2702 753.0448 249.7171
-98.6952 94.0814 30.8576 -28.9552 106.0010 -334.4256 | -69.0297 -195.6404 29.0623
145.9478 128.3147 -11.8015 -142.5549 -17.4814 -346.8280 | -138.2340 73.9147 -357.7415
21.3544 -90.4255 -72.2343 55.4400 -25.4056 205.4171 | -839.7631 -361.6982 473.5595
-73.3244 97.2260 -79.3677 -125.8573 91.2228 -130.1838 | 195.4135 -887.1520 272.6569
81.0001 31.4577 -57.1251 57.4850 100.8790 -217.1290 | 31.8453 644.8004 927.6323
19.1863 -10.7343 -73.5487 -148.0007 90.1374 -268.8153 | -91.9255 -75.5992 1255.7875
163.2048 6.2119 -181.7037 -86.8028 -92.2628 -315.7535 | 316.8997 -182.5776 813.0677
166.5948 79.0037 -35.2709 152.5882 -0.3500 -124.8067 | -837.1050 196.8720 131.4535
11.7064 -55.2496 -65.8057 25.4904 23.7093 129.6418 | -589.5635 -109.4400 1065.8011
62.7524 -71.2451 -159.2762 117.5141 95.1819 53.1973 | -341.1148 -504.4556 148.2167
48.3410 -20.4527 -3.3629 110.0714 40.9332 205.1202 | 166.8202 266.2056 1041.7993
149.4560 2.1385 -91.8967 -10.3699 -27.6440 -283.9212 | 17.3911 -16.3648 1330.6849
-132.8677 74.9716 -186.1461 -107.9039 104.7390 210.2193 | -226.2189 -130.3379 858.0908
156.4123 -8.1330 -58.2769 56.7907 99.1403 92.0337 | -160.3684 -5.8104 1198.5608
-19.8139 94.3263 -173.0565 -81.2553 -56.2933 -303.3440 | 511.5277 -112.4289 828.0707
-146.8370 -83.7981 -96.7035 148.9930 -16.1174 -359.5984 | 767.2050 513.3572 407.1871
-148.5871 -49.3216 -28.2862 147.3966 40.2310 -47.4524 | 248.7645 117.9786 1171.7451
25.9891 -62.8825 -169.5961 -6.7912 -44.8863 102.2355 | -532.1355 -251.8773 130.1308
-38.8862 61.7627 -5.2219 -164.5682 53.7412 113.8522 | 584.1225 -494.8614 238.2203
82.5442 3.9930 -116.0714 40.5962 -103.0656 -337.4608 | 29.2896 -192.0465 1169.7258
-158.8532 -9.3136 25.4885 -167.5243 -3.0359 -269.3428 | -435.0366 -170.6707 700.3118
-65.6562 -19.3624 -70.8388 129.1767 -102.4097 -240.8256 | -101.3125 68.1738 1214.1246
-106.4414 -36.3748 -36.4314 55.2963 -41.3753 -157.5064 | -2.8361 155.2967 1230.5235
-69.7622 73.8413 15.5162 -165.2625 44.4770 -203.5270 | 175.0419 -519.0581 9.9564
-33.8016 71.1511 -21.9908 -31.1710 30.0367 -97.8663 | 638.0469 -448.7293 140.6735
8.0333 12.2236 -144.8348 -159.3755 98.5059 -28.2159 | -239.2431 -63.4965 1043.6103
-137.0019 30.9072 -31.4468 -120.0530 -84.4986 -175.2933 | -462.6088 -529.6957 754.7779
-51.7334 -82.6877 47.7544 -57.0253 -77.0849 173.5153 | 3.7069 104.4554 761.6516
127.7642 -39.1610 -137.3598 -131.9635 -36.3444 317.7320 | 429.6928 -613.4600 747.5638
66.2424 -75.0353 -128.3442 -81.1953 -72.7854 -208.8860 | -396.0444 -697.8388 268.8104
-90.9220 -18.1247 45.2666 43.2357 -65.2693 -246.1859 | -56.8029 -351.0471 662.3835
-100.6080 50.8985 -155.5814 155.2026 52.6731 283.9691 | 0.0486 -156.2101 1101.4264
12.0003 14.1167 -114.7295 -76.1665 -79.2404 144.3031 | -14.1856 78.7783 1239.0158
84.8848 34.5845 -16.6462 -26.4951 -9.2023 -0.7361 | 64.9846 783.1365 631.5590
9.5375 -67.4044 -87.9853 -21.9315 38.5571 75.8389 | -808.5425 -153.1284 771.7554
-76.3959 97.9586 47.3560 79.2520 -23.7711 -289.4569 | -15.6528 -74.8360 -7.2829
