# 关节角度(度) | 末端位置(mm)含0.1mm随机误差
# q1 q2 q3 q4 q5 q6 | x y z
25.0580 36.3798 -46.1445 -163.1875 -102.3989 78.3475 | 632.6851 321.7192 763.0140
62.5881 -29.4075 -161.3738 -120.5573 12.6097 -73.3195 | -301.4219 -614.9468 623.4413
-146.1911 -17.0029 37.3964 -150.0925 -68.8970 249.6406 | -249.2525 -213.3962 608.7269
12.2422 52.6820 -190.8495 112.5856 -70.5571 -173.7121 | 46.5825 -63.8315 951.5501
137.8308 -71.4886 6.9248 -115.6167 -14.0709 -121.1588 | 128.2007 -140.6360 996.4867
90.7781 117.2110 38.4058 137.0096 -93.5231 347.8790 | 56.1502 19.8517 24.5741
168.9610 -71.0115 -79.1891 -115.0231 -107.4223 -258.8974 | 715.2314 -212.7086 725.7573
-16.1294 -10.8880 -107.0218 151.7508 13.1836 154.5022 | -324.4086 103.0774 1243.6142
-28.2064 -68.9744 -45.6155 47.6320 82.5928 312.5445 | -453.7084 312.3896 951.6261
-152.9565 66.4790 -178.4181 93.1172 39.5251 127.4112 | -164.6555 -143.2605 1004.4245
-164.7294 108.5847 -160.3422 -39.7512 76.6726 -256.3948 | -736.6597 -147.5509 579.7085
-64.6647 -49.4088 21.9707 -160.3576 -107.8229 -25.7922 | 57.1787 -58.6557 819.9807
-142.5698 -94.3036 -105.4530 49.2767 31.4329 -271.4159 | 720.7997 510.4140 169.5447
150.6937 -18.3227 -144.6117 1.1212 -36.7177 153.5131 | 534.6380 -298.9179 864.0284
-2.8058 59.1855 56.8008 -61.8592 10.6659 -92.5828 | 205.5385 -23.7253 128.8593
140.5847 30.5830 -84.4982 26.8681 -45.9000 16.5413 | -348.1846 321.0425 1208.8666
71.3236 20.5132 -5.4034 -108.0395 77.8391 -81.3222 | 277.0585 578.5387 732.1422
-147.9341 58.2285 -97.6891 25.0404 37.4511 241.1939 | -664.5297 -441.6278 921.6429
77.1462 61.1537 -173.7319 95.8066 -96.9245 223.9762 | 130.5184 203.6493 974.3712
79.8936 -21.7177 35.7651 96.8801 86.7296 -307.8584 | -27.4700 314.3639 725.6049
-89.5078 127.8447 -173.6343 120.3444 105.1782 -231.7565 | 74.3963 -610.8536 458.9837
133.9468 -16.9898 -2.1365 -144.6600 80.8291 321.2075 | -168.1245 242.8764 1043.8073
-79.1002 37.5579 -178.0311 -45.3197 96.9741 51.6484 | -60.3358 3.6029 1016.8745
-91.6645 -77.9019 -1.3575 108.8712 43.1332 -293.4782 | 64.0825 358.4916 968.9726
114.3328 66.4366 3.3753 -94.7168 88.6048 -233.4538 | -181.4658 602.0420 160.1557
130.1157 13.2226 -1.3887 -166.3140 107.8319 296.0457 | -342.9461 436.0074 833.7904
-128.0588 -24.8136 43.4825 24.5437 57.3968 -318.1886 | -156.4197 -246.8190 598.6644
148.6771 46.3310 11.1273 -11.5818 -62.9777 -34.9783 | -599.8927 347.6464 343.1916
-150.5365 33.9487 -35.1160 61.8128 -20.2543 -205.2124 | -698.1977 -365.3471 803.9102
-60.5538 -82.2581 -43.8805 167.2362 -66.9957 -167.9763 | -334.0284 557.4766 840.1724
-52.9504 0.6859 -170.2174 -58.7258 1.5522 211.1755 | -290.9242 382.0307 880.8132
-6.0481 -41.4409 -167.2007 -147.2730 -9.3456 -319.0239 | -698.8241 81.3771 441.2376
133.1455 38.6915 -57.7372 -124.0114 -96.7163 95.3883 | -535.8462 471.7367 851.6572
-110.2635 84.8435 -55.5147 164.2621 31.9236 345.5207 | -316.6695 -892.3078 239.2513
16.4608 41.6505 -17.9078 14.8337 -97.5579 -118.0040 | 731.6796 194.1567 642.8180
139.8000 -6.6461 -4.9762 98.4637 102.0344 -326.9181 | -341.1744 183.0933 947.1252
141.7128 103.8883 -45.8272 84.4573 113.5188 -218.4010 | -591.0968 370.0242 -52.0542
144.7826 44.1295 -11.8550 21.5141 91.6055 -337.7218 | -572.8713 367.1234 429.0175
-12.7784 -32.3843 15.9458 12.9738 -11.7240 230.1603 | 267.3874 -64.4458 946.9860
160.6382 1.5717 1.5199 -48.2968 64.6718 -319.7108 | -463.5878 222.2781 779.4854
93.1087 -50.4942 -165.5809 -91.4464 -99.2563 -195.6252 | -47.6388 -634.4491 384.9554
-9.7019 -92.5830 -61.8524 49.6409 91.1254 -352.6700 | -770.5003 195.8615 564.0569
-159.0204 -73.2013 -169.4919 -143.6444 -55.2043 314.9525 | 602.7798 187.9121 87.7063
-140.4371 -51.4913 -50.0363 145.3219 73.6413 -153.3870 | 417.6374 286.3925 1082.9953
9.4315 -34.5623 -137.1624 16.7885 -35.2881 -151.6001 | -716.7368 -133.1325 734.6584
-105.2852 12.8676 -20.3044 -58.5487 75.7276 85.5984 | -219.1825 -541.9006 861.0783
-96.6452 33.2067 -143.0339 -56.6330 -69.7725 -157.6954 | 59.9561 -47.6403 1157.9093
4.8816 64.7528 18.8143 -151.2071 -52.6494 43.1638 | 455.2487 70.8532 82.7797
-38.3022 40.7771 47.3411 21.5166 77.7990 -339.8314 | 247.4350 -157.4029 259.6570
26.9002 -93.9754 -5.2545 -49.3865 -27.0018 -232.4425 | -502.7728 -223.0825 842.4004
