# 优化前后误差比较
# 格式: 样本索引, 初始误差(mm), 优化后误差(mm), 改进(%)

0, 3.508153, 3.228020, 7.99
1, 0.853702, 1.360705, -59.39
2, 2.673319, 3.384646, -26.61
3, 3.098854, 2.662892, 14.07
4, 2.790733, 2.030288, 27.25
5, 1.139690, 0.305867, 73.16
6, 3.321124, 2.728876, 17.83
7, 2.644927, 3.187781, -20.52
8, 3.212061, 3.499580, -8.95
9, 0.980300, 0.542149, 44.70
10, 2.152546, 1.933887, 10.16
11, 1.541431, 1.007624, 34.63
12, 2.309348, 1.965131, 14.91
13, 2.297951, 2.189738, 4.71
14, 2.559406, 2.443253, 4.54
15, 3.080052, 1.941127, 36.98
16, 3.723491, 2.927014, 21.39
17, 3.896657, 3.657927, 6.13
18, 1.600288, 0.969680, 39.41
19, 2.011778, 1.631478, 18.90
20, 0.910257, 0.935312, -2.75
21, 3.410726, 2.112594, 38.06
22, 1.653999, 1.136676, 31.28
23, 0.844923, 0.706026, 16.44
24, 1.991010, 2.249701, -12.99
25, 2.497295, 2.342391, 6.20
26, 2.105098, 2.456873, -16.71
27, 1.372973, 1.641511, -19.56
28, 2.992988, 3.162138, -5.65
29, 1.242074, 1.376030, -10.78
30, 2.484301, 2.146198, 13.61
31, 1.052593, 0.649366, 38.31
32, 4.457450, 3.467884, 22.20
33, 2.532621, 1.707636, 32.57
34, 3.306302, 2.835980, 14.23
35, 2.022086, 1.844815, 8.77
36, 2.902836, 2.513139, 13.42
37, 3.161238, 3.413675, -7.99
38, 3.199203, 3.039450, 4.99
39, 2.380058, 2.497375, -4.93
40, 3.052232, 2.468881, 19.11
41, 3.158148, 3.337082, -5.67
42, 3.553012, 3.689230, -3.83
43, 2.317543, 2.169734, 6.38
44, 3.288027, 2.659366, 19.12
45, 1.280955, 2.158646, -68.52
46, 2.935493, 2.780269, 5.29
47, 1.194307, 1.663023, -39.25
48, 2.204646, 2.526919, -14.62
49, 2.367531, 1.947110, 17.76

# 统计摘要
平均初始误差: 2.425355 mm
平均优化后误差: 2.224654 mm
最大初始误差: 4.457450 mm
最大优化后误差: 3.689230 mm
平均误差改进: 8.28%
